GENERATION_PROJECT	PERIOD	gen_tech	gen_load_zone	gen_energy_source	GenCapacity	GenCapitalCosts	GenFixedOMCosts
Oahu_CentralTrackingPV_PV_01	2035	CentralTrackingPV	Oahu	SUN	27.6	6.20306e+06	406871
Oahu_CentralTrackingPV_PV_01	2040	CentralTrackingPV	Oahu	SUN	272.066	2.96934e+07	2.00957e+06
Oahu_CentralTrackingPV_PV_01	2045	CentralTrackingPV	Oahu	SUN	272.066	2.96934e+07	2.00957e+06
Oahu_CentralTrackingPV_PV_02	2020	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_02	2025	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_02	2030	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_02	2035	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_02	2040	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_02	2045	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_03	2020	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_03	2025	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_03	2030	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_03	2035	CentralTrackingPV	Oahu	SUN	0	0	0
Oahu_CentralTrackingPV_PV_03	2040	CentralTrackingPV	Oahu	SUN	74.0787	7.07146e+06	485652
Oahu_CentralTrackingPV_PV_03	2045	CentralTrackingPV	Oahu	SUN	74.0787	7.07146e+06	485652
Oahu_CentralTrackingPV_PV_04	2020	CentralTrackingPV	Oahu	SUN	116.663	1.47092e+07	948992
Oahu_CentralTrackingPV_PV_04	2025	CentralTrackingPV	Oahu	SUN	150.135	1.84001e+07	1.20245e+06
Oahu_CentralTrackingPV_PV_04	2030	CentralTrackingPV	Oahu	SUN	246.035	2.83551e+07	1.88758e+06
Oahu_CentralTrackingPV_PV_04	2035	CentralTrackingPV	Oahu	SUN	246.035	2.83551e+07	1.88758e+06
Oahu_CentralTrackingPV_PV_04	2040	CentralTrackingPV	Oahu	SUN	246.035	2.83551e+07	1.88758e+06
Oahu_CentralTrackingPV_PV_04	2045	CentralTrackingPV	Oahu	SUN	241.035	2.72372e+07	1.88758e+06
