DISCRETE_GEN_TPS_1	DISCRETE_GEN_TPS_2	CommitGenUnits
Oahu_AES	2008120810	0.0
Oahu_AES	2008120812	0.0
Oahu_AES	2008120814	0.0
Oahu_AES	2008120816	0.0
Oahu_AES	2008120818	0.0
Oahu_AES	2008120820	0.0
Oahu_AES	2008120822	0.0
Oahu_AES	2507051700	1.0
Oahu_AES	2507051702	1.0
Oahu_AES	2507051704	1.0
Oahu_AES	2507051706	1.0
Oahu_AES	2507051708	1.0
Oahu_AES	2507051710	1.0
Oahu_AES	2507051712	1.0
Oahu_AES	2507051714	1.0
Oahu_AES	2507051716	1.0
Oahu_AES	2507051718	1.0
Oahu_AES	2507051720	1.0
Oahu_AES	2507051722	1.0
Oahu_AES	2507070900	1.0
Oahu_AES	2507070902	1.0
Oahu_AES	2507070904	1.0
Oahu_AES	2507070906	1.0
Oahu_AES	2507070908	1.0
Oahu_AES	2507070910	1.0
Oahu_AES	2507070912	1.0
Oahu_AES	2507070914	1.0
Oahu_AES	2507070916	1.0
Oahu_AES	2507070918	1.0
Oahu_AES	2507070920	1.0
Oahu_AES	2507070922	1.0
Oahu_AES	2507072100	0.0
Oahu_AES	2507072102	0.0
Oahu_AES	2507072104	0.0
Oahu_AES	2507072106	0.0
Oahu_AES	2507072108	0.0
Oahu_AES	2507072110	0.0
Oahu_AES	2507072112	0.0
Oahu_AES	2507072114	0.0
Oahu_AES	2507072116	0.0
Oahu_AES	2507072118	0.0
Oahu_AES	2507072120	0.0
Oahu_AES	2507072122	0.0
Oahu_AES	2507082500	1.0
Oahu_AES	2507082502	1.0
Oahu_AES	2507082504	1.0
Oahu_AES	2507082506	1.0
Oahu_AES	2507082508	1.0
Oahu_AES	2507082510	1.0
Oahu_AES	2507082512	1.0
Oahu_AES	2507082514	1.0
Oahu_AES	2507082516	1.0
Oahu_AES	2507082518	1.0
Oahu_AES	2507082520	1.0
Oahu_AES	2507082522	1.0
Oahu_AES	2507121500	0.0
Oahu_AES	2507121502	0.0
Oahu_AES	2507121504	0.0
Oahu_AES	2507121506	0.0
Oahu_AES	2507121508	0.0
Oahu_AES	2507121510	0.0
Oahu_AES	2507121512	0.0
Oahu_AES	2507121514	0.0
Oahu_AES	2507121516	0.0
Oahu_AES	2507121518	0.0
Oahu_AES	2507121520	0.0
Oahu_AES	2507121522	0.0
Oahu_AES	2507121800	1.0
Oahu_AES	2507121802	1.0
Oahu_AES	2507121804	1.0
Oahu_AES	2507121806	1.0
Oahu_AES	2507121808	1.0
Oahu_AES	2507121810	1.0
Oahu_AES	2507121812	1.0
Oahu_AES	2507121814	1.0
Oahu_AES	2507121816	1.0
Oahu_AES	2507121818	1.0
Oahu_AES	2507121820	1.0
Oahu_AES	2507121822	1.0
Oahu_AES	2507121900	1.0
Oahu_AES	2507121902	1.0
Oahu_AES	2507121904	1.0
Oahu_AES	2507121906	1.0
Oahu_AES	2507121908	1.0
Oahu_AES	2507121910	1.0
Oahu_AES	2507121912	1.0
Oahu_AES	2507121914	1.0
Oahu_AES	2507121916	1.0
Oahu_AES	2507121918	1.0
Oahu_AES	2507121920	1.0
Oahu_AES	2507121922	1.0
Oahu_AES	2508010900	1.0
Oahu_AES	2508010902	1.0
Oahu_AES	2508010904	1.0
Oahu_AES	2508010906	1.0
Oahu_AES	2508010908	1.0
Oahu_AES	2508010910	1.0
Oahu_AES	2508010912	1.0
Oahu_AES	2508010914	1.0
Oahu_AES	2508010916	1.0
Oahu_AES	2508010918	1.0
Oahu_AES	2508010920	1.0
Oahu_AES	2508010922	1.0
Oahu_AES	2508042100	1.0
Oahu_AES	2508042102	1.0
Oahu_AES	2508042104	1.0
Oahu_AES	2508042106	1.0
Oahu_AES	2508042108	1.0
Oahu_AES	2508042110	1.0
Oahu_AES	2508042112	1.0
Oahu_AES	2508042114	1.0
Oahu_AES	2508042116	1.0
Oahu_AES	2508042118	1.0
Oahu_AES	2508042120	1.0
Oahu_AES	2508042122	1.0
Oahu_AES	2508050100	0.0
Oahu_AES	2508050102	0.0
Oahu_AES	2508050104	0.0
Oahu_AES	2508050106	0.0
Oahu_AES	2508050108	0.0
Oahu_AES	2508050110	0.0
Oahu_AES	2508050112	0.0
Oahu_AES	2508050114	0.0
Oahu_AES	2508050116	0.0
Oahu_AES	2508050118	0.0
Oahu_AES	2508050120	0.0
Oahu_AES	2508050122	0.0
Oahu_AES	2508072700	0.0
Oahu_AES	2508072702	0.0
Oahu_AES	2508072704	0.0
Oahu_AES	2508072706	0.0
Oahu_AES	2508072708	0.0
Oahu_AES	2508072710	0.0
Oahu_AES	2508072712	0.0
Oahu_AES	2508072714	0.0
Oahu_AES	2508072716	0.0
Oahu_AES	2508072718	0.0
Oahu_AES	2508072720	0.0
Oahu_AES	2508072722	0.0
Oahu_AES	2508091000	1.0
Oahu_AES	2508091002	1.0
Oahu_AES	2508091004	1.0
Oahu_AES	2508091006	1.0
Oahu_AES	2508091008	1.0
Oahu_AES	2508091010	1.0
Oahu_AES	2508091012	1.0
Oahu_AES	2508091014	1.0
Oahu_AES	2508091016	1.0
Oahu_AES	2508091018	1.0
Oahu_AES	2508091020	1.0
Oahu_AES	2508091022	1.0
Oahu_AES	2508100300	1.0
Oahu_AES	2508100302	1.0
Oahu_AES	2508100304	1.0
Oahu_AES	2508100306	1.0
Oahu_AES	2508100308	1.0
Oahu_AES	2508100310	1.0
Oahu_AES	2508100312	1.0
Oahu_AES	2508100314	1.0
Oahu_AES	2508100316	1.0
Oahu_AES	2508100318	1.0
Oahu_AES	2508100320	1.0
Oahu_AES	2508100322	1.0
Oahu_AES	2508110800	0.0
Oahu_AES	2508110802	0.0
Oahu_AES	2508110804	0.0
Oahu_AES	2508110806	0.0
Oahu_AES	2508110808	0.0
Oahu_AES	2508110810	0.0
Oahu_AES	2508110812	0.0
Oahu_AES	2508110814	0.0
Oahu_AES	2508110816	0.0
Oahu_AES	2508110818	0.0
Oahu_AES	2508110820	0.0
Oahu_AES	2508110822	0.0
Oahu_AES	2508120500	1.0
Oahu_AES	2508120502	1.0
Oahu_AES	2508120504	1.0
Oahu_AES	2508120506	1.0
Oahu_AES	2508120508	1.0
Oahu_AES	2508120510	1.0
Oahu_AES	2508120512	1.0
Oahu_AES	2508120514	1.0
Oahu_AES	2508120516	1.0
Oahu_AES	2508120518	1.0
Oahu_AES	2508120520	1.0
Oahu_AES	2508120522	1.0
Oahu_AES	2508120800	1.0
Oahu_AES	2508120802	1.0
Oahu_AES	2508120804	1.0
Oahu_AES	2508120806	1.0
Oahu_AES	2508120808	1.0
Oahu_AES	2508120810	1.0
Oahu_AES	2508120812	1.0
Oahu_AES	2508120814	1.0
Oahu_AES	2508120816	1.0
Oahu_AES	2508120818	1.0
Oahu_AES	2508120820	1.0
Oahu_AES	2508120822	1.0
Oahu_AES	3007051700	0.0
Oahu_AES	3007051702	0.0
Oahu_AES	3007051704	0.0
Oahu_AES	3007051706	0.0
Oahu_AES	3007051708	0.0
Oahu_AES	3007051710	0.0
Oahu_AES	3007051712	0.0
Oahu_AES	3007051714	0.0
Oahu_AES	3007051716	0.0
Oahu_AES	3007051718	0.0
Oahu_AES	3007051720	0.0
Oahu_AES	3007051722	0.0
Oahu_AES	3007070900	0.0
Oahu_AES	3007070902	0.0
Oahu_AES	3007070904	0.0
Oahu_AES	3007070906	0.0
Oahu_AES	3007070908	0.0
Oahu_AES	3007070910	0.0
Oahu_AES	3007070912	0.0
Oahu_AES	3007070914	0.0
Oahu_AES	3007070916	0.0
Oahu_AES	3007070918	0.0
Oahu_AES	3007070920	0.0
Oahu_AES	3007070922	0.0
Oahu_AES	3007072100	0.0
Oahu_AES	3007072102	0.0
Oahu_AES	3007072104	0.0
Oahu_AES	3007072106	0.0
Oahu_AES	3007072108	0.0
Oahu_AES	3007072110	0.0
Oahu_AES	3007072112	0.0
Oahu_AES	3007072114	0.0
Oahu_AES	3007072116	0.0
Oahu_AES	3007072118	0.0
Oahu_AES	3007072120	0.0
Oahu_AES	3007072122	0.0
Oahu_AES	3007082500	1.0
Oahu_AES	3007082502	1.0
Oahu_AES	3007082504	1.0
Oahu_AES	3007082506	1.0
Oahu_AES	3007082508	1.0
Oahu_AES	3007082510	1.0
Oahu_AES	3007082512	1.0
Oahu_AES	3007082514	1.0
Oahu_AES	3007082516	1.0
Oahu_AES	3007082518	1.0
Oahu_AES	3007082520	1.0
Oahu_AES	3007082522	1.0
Oahu_AES	3007121500	1.0
Oahu_AES	3007121502	1.0
Oahu_AES	3007121504	1.0
Oahu_AES	3007121506	1.0
Oahu_AES	3007121508	1.0
Oahu_AES	3007121510	1.0
Oahu_AES	3007121512	1.0
Oahu_AES	3007121514	1.0
Oahu_AES	3007121516	1.0
Oahu_AES	3007121518	1.0
Oahu_AES	3007121520	1.0
Oahu_AES	3007121522	1.0
Oahu_AES	3007121800	1.0
Oahu_AES	3007121802	1.0
Oahu_AES	3007121804	1.0
Oahu_AES	3007121806	1.0
Oahu_AES	3007121808	1.0
Oahu_AES	3007121810	1.0
Oahu_AES	3007121812	1.0
Oahu_AES	3007121814	1.0
Oahu_AES	3007121816	1.0
Oahu_AES	3007121818	1.0
Oahu_AES	3007121820	1.0
Oahu_AES	3007121822	1.0
Oahu_AES	3007121900	1.0
Oahu_AES	3007121902	1.0
Oahu_AES	3007121904	1.0
Oahu_AES	3007121906	1.0
Oahu_AES	3007121908	1.0
Oahu_AES	3007121910	1.0
Oahu_AES	3007121912	1.0
Oahu_AES	3007121914	1.0
Oahu_AES	3007121916	1.0
Oahu_AES	3007121918	1.0
Oahu_AES	3007121920	1.0
Oahu_AES	3007121922	1.0
Oahu_AES	3008010900	1.0
Oahu_AES	3008010902	1.0
Oahu_AES	3008010904	1.0
Oahu_AES	3008010906	1.0
Oahu_AES	3008010908	1.0
Oahu_AES	3008010910	1.0
Oahu_AES	3008010912	1.0
Oahu_AES	3008010914	1.0
Oahu_AES	3008010916	1.0
Oahu_AES	3008010918	1.0
Oahu_AES	3008010920	1.0
Oahu_AES	3008010922	1.0
Oahu_AES	3008042100	1.0
Oahu_AES	3008042102	1.0
Oahu_AES	3008042104	1.0
Oahu_AES	3008042106	1.0
Oahu_AES	3008042108	1.0
Oahu_AES	3008042110	1.0
Oahu_AES	3008042112	1.0
Oahu_AES	3008042114	1.0
Oahu_AES	3008042116	1.0
Oahu_AES	3008042118	1.0
Oahu_AES	3008042120	1.0
Oahu_AES	3008042122	1.0
Oahu_AES	3008050100	0.0
Oahu_AES	3008050102	0.0
Oahu_AES	3008050104	0.0
Oahu_AES	3008050106	0.0
Oahu_AES	3008050108	0.0
Oahu_AES	3008050110	0.0
Oahu_AES	3008050112	0.0
Oahu_AES	3008050114	0.0
Oahu_AES	3008050116	0.0
Oahu_AES	3008050118	0.0
Oahu_AES	3008050120	0.0
Oahu_AES	3008050122	0.0
Oahu_AES	3008072700	0.0
Oahu_AES	3008072702	0.0
Oahu_AES	3008072704	0.0
Oahu_AES	3008072706	0.0
Oahu_AES	3008072708	0.0
Oahu_AES	3008072710	0.0
Oahu_AES	3008072712	0.0
Oahu_AES	3008072714	0.0
Oahu_AES	3008072716	0.0
Oahu_AES	3008072718	0.0
Oahu_AES	3008072720	0.0
Oahu_AES	3008072722	0.0
Oahu_AES	3008091000	1.0
Oahu_AES	3008091002	1.0
Oahu_AES	3008091004	1.0
Oahu_AES	3008091006	1.0
Oahu_AES	3008091008	1.0
Oahu_AES	3008091010	1.0
Oahu_AES	3008091012	1.0
Oahu_AES	3008091014	1.0
Oahu_AES	3008091016	1.0
Oahu_AES	3008091018	1.0
Oahu_AES	3008091020	1.0
Oahu_AES	3008091022	1.0
Oahu_AES	3008100300	1.0
Oahu_AES	3008100302	1.0
Oahu_AES	3008100304	1.0
Oahu_AES	3008100306	1.0
Oahu_AES	3008100308	1.0
