load_zone	period	Battery	Biodiesel/Coal/Diesel/LNG/LSFO/Pellet-Biomass	Biodiesel/Diesel/LNG	Biodiesel/Diesel/LNG/LSFO	MSW	SUN	Uranium	WND	hydro	batteries	fuel cells
Oahu	2020	3.3891302630644873	180.0	223.8	1101.4399999999998	73.0	732.1516315731362	0.0	99.0	0.0	0.0	0.0
Oahu	2025	88.35162571388524	180.0	223.8	676.126	73.0	765.6242132366357	0.0	99.0	0.0	0.0	0.0
Oahu	2030	94.43248507572352	180.0	223.8	676.126	73.0	1097.5127355718744	0.0	99.0	0.0	0.0	0.0
Oahu	2035	254.06635609264595	180.0	223.8	676.126	73.0	1208.179623554229	0.0	99.0	0.0	0.0	0.0
Oahu	2040	358.75267345854354	180.0	223.8	676.126	73.0	2069.3594677539336	17.93752416475337	453.6917749267341	150.0	0.0	0.0
Oahu	2045	373.5086884047111	0.0	49.9	227.42600000000002	73.0	2064.3594677539336	646.0825619243474	453.6917749267341	150.0	0.0	136.07931093273925
