ISV_INDEX_1	IncreaseSmoothedValue
('ChargeEVs', 'Oahu', 2008120822)	1.1058947904846634
('ChargeEVs', 'Oahu', 2507051700)	178.6597220529677
('ChargeEVs', 'Oahu', 2507051702)	34.678860051697924
('ChargeEVs', 'Oahu', 2507051704)	0.0
('ChargeEVs', 'Oahu', 2507051706)	0.0
('ChargeEVs', 'Oahu', 2507051708)	13.37977974360825
('ChargeEVs', 'Oahu', 2507051710)	0.0
('ChargeEVs', 'Oahu', 2507051712)	0.0
('ChargeEVs', 'Oahu', 2507051714)	0.0
('ChargeEVs', 'Oahu', 2507051716)	6.212804754661311
('ChargeEVs', 'Oahu', 2507051718)	0.5202056968401116
('ChargeEVs', 'Oahu', 2507051720)	0.0
('ChargeEVs', 'Oahu', 2507051722)	59.73476614436283
('ChargeEVs', 'Oahu', 2507070900)	180.93474867497267
('ChargeEVs', 'Oahu', 2507070902)	59.704498926920046
('ChargeEVs', 'Oahu', 2507070904)	0.0
('ChargeEVs', 'Oahu', 2507070906)	0.0
('ChargeEVs', 'Oahu', 2507070908)	10.576705801153853
('ChargeEVs', 'Oahu', 2507070910)	0.0
('ChargeEVs', 'Oahu', 2507070912)	0.0
('ChargeEVs', 'Oahu', 2507070914)	0.0
('ChargeEVs', 'Oahu', 2507070916)	6.4300948351598155
('ChargeEVs', 'Oahu', 2507070918)	0.0
('ChargeEVs', 'Oahu', 2507070920)	0.0
('ChargeEVs', 'Oahu', 2507070922)	27.781968810527655
('ChargeEVs', 'Oahu', 2507072100)	58.85983776455785
('ChargeEVs', 'Oahu', 2507072102)	6.419146216754381
('ChargeEVs', 'Oahu', 2507072104)	0.0
('ChargeEVs', 'Oahu', 2507072106)	0.0
('ChargeEVs', 'Oahu', 2507072108)	0.0
('ChargeEVs', 'Oahu', 2507072110)	0.0
('ChargeEVs', 'Oahu', 2507072112)	0.0
('ChargeEVs', 'Oahu', 2507072114)	0.0
('ChargeEVs', 'Oahu', 2507072116)	0.0
('ChargeEVs', 'Oahu', 2507072118)	7.442376615006103
('ChargeEVs', 'Oahu', 2507072120)	0.0
('ChargeEVs', 'Oahu', 2507072122)	32.7645436660415
('ChargeEVs', 'Oahu', 2507082500)	102.16774830795563
('ChargeEVs', 'Oahu', 2507082502)	91.61478551711446
('ChargeEVs', 'Oahu', 2507082504)	0.0
('ChargeEVs', 'Oahu', 2507082506)	0.0
('ChargeEVs', 'Oahu', 2507082508)	0.0
('ChargeEVs', 'Oahu', 2507082510)	0.0
('ChargeEVs', 'Oahu', 2507082512)	0.0
('ChargeEVs', 'Oahu', 2507082514)	0.0
('ChargeEVs', 'Oahu', 2507082516)	5.9284466745622675
('ChargeEVs', 'Oahu', 2507082518)	0.0
('ChargeEVs', 'Oahu', 2507082520)	0.0
('ChargeEVs', 'Oahu', 2507082522)	23.19540940726845
('ChargeEVs', 'Oahu', 2507121500)	80.7269930153597
('ChargeEVs', 'Oahu', 2507121502)	83.41485765000007
('ChargeEVs', 'Oahu', 2507121504)	0.0
('ChargeEVs', 'Oahu', 2507121506)	0.0
('ChargeEVs', 'Oahu', 2507121508)	5.633004586485106
('ChargeEVs', 'Oahu', 2507121510)	0.0
('ChargeEVs', 'Oahu', 2507121512)	0.0
('ChargeEVs', 'Oahu', 2507121514)	0.0
('ChargeEVs', 'Oahu', 2507121516)	0.0
('ChargeEVs', 'Oahu', 2507121518)	6.49645751102914
('ChargeEVs', 'Oahu', 2507121520)	0.0
('ChargeEVs', 'Oahu', 2507121522)	44.408421606312054
('ChargeEVs', 'Oahu', 2507121800)	166.2016752539685
('ChargeEVs', 'Oahu', 2507121802)	155.81157346407997
('ChargeEVs', 'Oahu', 2507121804)	0.0
('ChargeEVs', 'Oahu', 2507121806)	0.0
('ChargeEVs', 'Oahu', 2507121808)	2.6164184203993437
('ChargeEVs', 'Oahu', 2507121810)	0.0
('ChargeEVs', 'Oahu', 2507121812)	0.0
('ChargeEVs', 'Oahu', 2507121814)	0.0
('ChargeEVs', 'Oahu', 2507121816)	0.0
('ChargeEVs', 'Oahu', 2507121818)	6.033287121563832
('ChargeEVs', 'Oahu', 2507121820)	0.0577431446459738
('ChargeEVs', 'Oahu', 2507121822)	11.820207992955472
('ChargeEVs', 'Oahu', 2507121900)	199.30732594848388
('ChargeEVs', 'Oahu', 2507121902)	93.31880773644934
('ChargeEVs', 'Oahu', 2507121904)	0.0
('ChargeEVs', 'Oahu', 2507121906)	0.0
('ChargeEVs', 'Oahu', 2507121908)	12.261007053470228
('ChargeEVs', 'Oahu', 2507121910)	0.0
('ChargeEVs', 'Oahu', 2507121912)	0.0
('ChargeEVs', 'Oahu', 2507121914)	0.0
('ChargeEVs', 'Oahu', 2507121916)	1.9970120334367478
('ChargeEVs', 'Oahu', 2507121918)	5.9088394228856895
('ChargeEVs', 'Oahu', 2507121920)	0.0
('ChargeEVs', 'Oahu', 2507121922)	32.68716166250155
('ChargeEVs', 'Oahu', 2508010900)	107.15109959887548
('ChargeEVs', 'Oahu', 2508010902)	155.8112559735918
('ChargeEVs', 'Oahu', 2508010904)	0.0
('ChargeEVs', 'Oahu', 2508010906)	0.0
('ChargeEVs', 'Oahu', 2508010908)	0.0
('ChargeEVs', 'Oahu', 2508010910)	0.0
('ChargeEVs', 'Oahu', 2508010912)	0.0
('ChargeEVs', 'Oahu', 2508010914)	0.0
('ChargeEVs', 'Oahu', 2508010916)	0.0
('ChargeEVs', 'Oahu', 2508010918)	0.0
('ChargeEVs', 'Oahu', 2508010920)	0.0
('ChargeEVs', 'Oahu', 2508010922)	15.183096816479832
('ChargeEVs', 'Oahu', 2508042100)	201.325752285857
('ChargeEVs', 'Oahu', 2508042102)	53.96612393334408
('ChargeEVs', 'Oahu', 2508042104)	0.0
('ChargeEVs', 'Oahu', 2508042106)	0.0
('ChargeEVs', 'Oahu', 2508042108)	18.598980406771176
('ChargeEVs', 'Oahu', 2508042110)	0.0
('ChargeEVs', 'Oahu', 2508042112)	0.0
('ChargeEVs', 'Oahu', 2508042114)	0.0
('ChargeEVs', 'Oahu', 2508042116)	4.329238610128142
('ChargeEVs', 'Oahu', 2508042118)	6.342660156281705
('ChargeEVs', 'Oahu', 2508042120)	10.458272104550295
('ChargeEVs', 'Oahu', 2508042122)	28.467656150913403
('ChargeEVs', 'Oahu', 2508050100)	55.52832109352352
('ChargeEVs', 'Oahu', 2508050102)	125.50799025925588
('ChargeEVs', 'Oahu', 2508050104)	16.149666376999853
('ChargeEVs', 'Oahu', 2508050106)	0.0
('ChargeEVs', 'Oahu', 2508050108)	0.0
('ChargeEVs', 'Oahu', 2508050110)	0.0
('ChargeEVs', 'Oahu', 2508050112)	0.0
('ChargeEVs', 'Oahu', 2508050114)	0.0
('ChargeEVs', 'Oahu', 2508050116)	0.0
('ChargeEVs', 'Oahu', 2508050118)	0.0
('ChargeEVs', 'Oahu', 2508050120)	3.240698865635016
('ChargeEVs', 'Oahu', 2508050122)	63.1512308846318
('ChargeEVs', 'Oahu', 2508072700)	26.936849025761752
('ChargeEVs', 'Oahu', 2508072702)	73.86163333973812
('ChargeEVs', 'Oahu', 2508072704)	80.4091485530001
('ChargeEVs', 'Oahu', 2508072706)	0.0
('ChargeEVs', 'Oahu', 2508072708)	23.57028195441392
('ChargeEVs', 'Oahu', 2508072710)	0.0
('ChargeEVs', 'Oahu', 2508072712)	0.0
('ChargeEVs', 'Oahu', 2508072714)	0.0
('ChargeEVs', 'Oahu', 2508072716)	17.475641671052045
('ChargeEVs', 'Oahu', 2508072718)	0.0
('ChargeEVs', 'Oahu', 2508072720)	0.0
('ChargeEVs', 'Oahu', 2508072722)	0.0
('ChargeEVs', 'Oahu', 2508091000)	104.00252159053414
('ChargeEVs', 'Oahu', 2508091002)	60.21644437786581
('ChargeEVs', 'Oahu', 2508091004)	0.0
('ChargeEVs', 'Oahu', 2508091006)	0.0
('ChargeEVs', 'Oahu', 2508091008)	14.669595894294744
('ChargeEVs', 'Oahu', 2508091010)	0.0
('ChargeEVs', 'Oahu', 2508091012)	0.0
('ChargeEVs', 'Oahu', 2508091014)	0.0
('ChargeEVs', 'Oahu', 2508091016)	7.282717349383138
('ChargeEVs', 'Oahu', 2508091018)	1.4467763696443317
('ChargeEVs', 'Oahu', 2508091020)	0.0
('ChargeEVs', 'Oahu', 2508091022)	63.439511358127874
('ChargeEVs', 'Oahu', 2508100300)	177.3734801259042
('ChargeEVs', 'Oahu', 2508100302)	114.06417316457993
('ChargeEVs', 'Oahu', 2508100304)	0.0
('ChargeEVs', 'Oahu', 2508100306)	0.0
('ChargeEVs', 'Oahu', 2508100308)	0.0
('ChargeEVs', 'Oahu', 2508100310)	0.0
('ChargeEVs', 'Oahu', 2508100312)	0.0
('ChargeEVs', 'Oahu', 2508100314)	0.0
('ChargeEVs', 'Oahu', 2508100316)	0.0
('ChargeEVs', 'Oahu', 2508100318)	4.759745858724923
('ChargeEVs', 'Oahu', 2508100320)	0.0
('ChargeEVs', 'Oahu', 2508100322)	17.809187035027335
('ChargeEVs', 'Oahu', 2508110800)	78.6488874799144
('ChargeEVs', 'Oahu', 2508110802)	102.55386888394366
('ChargeEVs', 'Oahu', 2508110804)	0.0
('ChargeEVs', 'Oahu', 2508110806)	9.260685410585184
('ChargeEVs', 'Oahu', 2508110808)	0.0
('ChargeEVs', 'Oahu', 2508110810)	0.0
('ChargeEVs', 'Oahu', 2508110812)	0.0
('ChargeEVs', 'Oahu', 2508110814)	0.0
