generation_project	timepoint	load_zone	ChargeMW	DischargeMW	StateOfCharge
Oahu_Battery_Bulk	2020-05-01-18:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-12-19-10:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-05-01-08:00	Oahu	0	0	0
Oahu_Battery_Reg	2020-08-25-22:00	Oahu	0	0	0
Oahu_Battery_Reg	2030-07-09-00:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-12-18-02:00	Oahu	104.766	0	500.192
Oahu_Battery_Conting	2030-09-10-18:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-05-17-18:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-10-03-06:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-09-10-14:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-12-05-00:00	Oahu	0	0	0
Oahu_Battery_Reg	2030-01-09-22:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-07-21-22:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-12-05-12:00	Oahu	0	0	0
Oahu_Battery_Reg	2035-07-21-04:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-08-25-08:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-01-09-18:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-12-05-08:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-05-17-12:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-09-10-06:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-12-18-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-07-09-08:00	Oahu	0	0	0
Oahu_Battery_Reg	2020-10-03-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-10-03-10:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-11-08-22:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-12-19-14:00	Oahu	50.81	0	405.494
Oahu_Battery_Conting	2045-12-05-10:00	Oahu	0	0	0
Oahu_Battery_Reg	2030-08-25-06:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-10-03-20:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-04-21-18:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-12-19-10:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-12-19-00:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-07-27-10:00	Oahu	26.8917	0	48.405
Oahu_Battery_Conting	2035-04-21-20:00	Oahu	0	0	0
Oahu_Battery_Conting	2020-12-18-02:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-12-08-04:00	Oahu	0	0	0
Oahu_Battery_Reg	2040-07-21-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-12-15-12:00	Oahu	0	0	0
Oahu_Battery_Reg	2020-12-08-14:00	Oahu	0	0	0
Oahu_Battery_Conting	2035-07-09-22:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-11-08-12:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-07-09-12:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-07-21-20:00	Oahu	0	0	0
Oahu_Battery_Reg	2035-12-08-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-08-25-10:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-05-01-06:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-01-09-08:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-12-19-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-11-08-22:00	Oahu	2.78248	0	106.325
Oahu_Battery_Reg	2035-09-10-04:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-05-17-10:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-05-17-10:00	Oahu	0	0	0
Oahu_Battery_Bulk	2025-05-17-20:00	Oahu	0	0	0
Oahu_Battery_Conting	2020-07-21-12:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-12-05-18:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-01-09-12:00	Oahu	18.806	0	182.503
Oahu_Battery_Conting	2035-07-21-10:00	Oahu	0	0	0
Oahu_Battery_Reg	2030-12-05-22:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-12-15-08:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-07-21-20:00	Oahu	0	185.628	0
Oahu_Battery_Conting	2030-12-08-02:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-07-21-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-09-10-12:00	Oahu	0	0	367.987
Oahu_Battery_Bulk	2020-07-09-14:00	Oahu	0	0	0
Oahu_Battery_Conting	2020-05-01-22:00	Oahu	0	0	0
Oahu_Battery_Reg	2030-12-19-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-12-19-10:00	Oahu	26.4369	4.74583	136.692
Oahu_Battery_Bulk	2035-12-19-20:00	Oahu	0	59.7653	139.345
Oahu_Battery_Conting	2020-07-27-00:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-05-17-18:00	Oahu	0	0	500.192
Oahu_Battery_Reg	2020-07-09-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-11-08-08:00	Oahu	0	0	0
Oahu_Battery_Reg	2035-05-17-08:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-09-10-10:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-12-19-22:00	Oahu	0	0	0
Oahu_Battery_Conting	2020-12-08-08:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-07-09-22:00	Oahu	3.1609	0	6.84178
Oahu_Battery_Conting	2045-09-10-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-12-15-08:00	Oahu	41.4927	0	74.6868
Oahu_Battery_Conting	2045-05-17-16:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-07-21-08:00	Oahu	0	0	0
Oahu_Battery_Reg	2035-07-21-02:00	Oahu	0	0	0
Oahu_Battery_Bulk	2020-01-09-00:00	Oahu	0	0	0
Oahu_Battery_Bulk	2035-12-05-04:00	Oahu	0	52.6582	163.521
Oahu_Battery_Reg	2025-10-03-18:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-10-03-06:00	Oahu	0	125.048	0
Oahu_Battery_Bulk	2025-07-21-08:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-11-08-18:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-12-18-20:00	Oahu	0	0	0
Oahu_Battery_Conting	2035-05-17-02:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-05-17-16:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-12-19-12:00	Oahu	0	0	0
Oahu_Battery_Conting	2025-12-19-00:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-12-15-18:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-12-19-22:00	Oahu	0	0	0
Oahu_Battery_Reg	2030-08-25-20:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-12-18-20:00	Oahu	0	0	0
Oahu_Battery_Conting	2040-12-19-12:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-12-08-10:00	Oahu	0	0	0
Oahu_Battery_Reg	2025-04-21-16:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-12-15-10:00	Oahu	0	0	0
Oahu_Battery_Conting	2035-12-05-14:00	Oahu	0	0	0
Oahu_Battery_Bulk	2030-12-08-16:00	Oahu	0	0	0
Oahu_Battery_Reg	2045-07-27-04:00	Oahu	0	0	0
Oahu_Battery_Reg	2035-07-09-06:00	Oahu	0	0	0
Oahu_Battery_Conting	2045-07-21-06:00	Oahu	0	0	0
Oahu_Battery_Bulk	2040-05-17-08:00	Oahu	358.753	322.877	0
Oahu_Battery_Reg	2020-09-10-00:00	Oahu	0	0	0
Oahu_Battery_Bulk	2045-05-17-06:00	Oahu	0	0	0
Oahu_Battery_Conting	2030-12-19-02:00	Oahu	0	0	0
