PERIOD,EnergyCostReal_per_MWh,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,SystemDemand_MWh
2020,41.4195859481,6761972138.55,1567422400.42,37842541.5064
2025,41.7312797932,5662664007.92,1521666884.41,36463460.7888
2030,40.4096191097,4544919472.14,1415830004.85,35036954.9637
2035,35.7929284977,3545241856.21,1280315227.23,35770060.7625
2040,32.8851780557,2906828322.19,1216960687.85,37006358.4811
2045,37.6122682609,2937924891.7,1425883286.74,37910058.4108
