STORAGE_GEN_TPS_1	STORAGE_GEN_TPS_2	StateOfCharge
Oahu_Battery_Bulk	2507051712	0.0
Oahu_Battery_Bulk	2507051714	0.0
Oahu_Battery_Bulk	2507051716	0.0
Oahu_Battery_Bulk	2507051718	0.0
Oahu_Battery_Bulk	2507051720	0.0
Oahu_Battery_Bulk	2507051722	0.0
Oahu_Battery_Bulk	2507070900	0.0
Oahu_Battery_Bulk	2507070902	0.0
Oahu_Battery_Bulk	2507070904	0.0
Oahu_Battery_Bulk	2507070906	0.0
Oahu_Battery_Bulk	2507070908	0.0
Oahu_Battery_Bulk	2507070910	0.0
Oahu_Battery_Bulk	2507070912	0.0
Oahu_Battery_Bulk	2507070914	0.0
Oahu_Battery_Bulk	2507070916	0.0
Oahu_Battery_Bulk	2507070918	0.0
Oahu_Battery_Bulk	2507070920	0.0
Oahu_Battery_Bulk	2507070922	0.0
Oahu_Battery_Bulk	2507072100	0.0
Oahu_Battery_Bulk	2507072102	0.0
Oahu_Battery_Bulk	2507072104	0.0
Oahu_Battery_Bulk	2507072106	0.0
Oahu_Battery_Bulk	2507072108	0.0
Oahu_Battery_Bulk	2507072110	0.0
Oahu_Battery_Bulk	2507072112	0.0
Oahu_Battery_Bulk	2507072114	0.0
Oahu_Battery_Bulk	2507072116	0.0
Oahu_Battery_Bulk	2507072118	0.0
Oahu_Battery_Bulk	2507072120	0.0
Oahu_Battery_Bulk	2507072122	0.0
Oahu_Battery_Bulk	2507082500	0.0
Oahu_Battery_Bulk	2507082502	0.0
Oahu_Battery_Bulk	2507082504	0.0
Oahu_Battery_Bulk	2507082506	0.0
Oahu_Battery_Bulk	2507082508	0.0
Oahu_Battery_Bulk	2507082510	0.0
Oahu_Battery_Bulk	2507082512	0.0
Oahu_Battery_Bulk	2507082514	0.0
Oahu_Battery_Bulk	2507082516	0.0
Oahu_Battery_Bulk	2507082518	0.0
Oahu_Battery_Bulk	2507082520	0.0
Oahu_Battery_Bulk	2507082522	0.0
Oahu_Battery_Bulk	2507121500	0.0
Oahu_Battery_Bulk	2507121502	0.0
Oahu_Battery_Bulk	2507121504	0.0
Oahu_Battery_Bulk	2507121506	0.0
Oahu_Battery_Bulk	2507121508	0.0
Oahu_Battery_Bulk	2507121510	0.0
Oahu_Battery_Bulk	2507121512	0.0
Oahu_Battery_Bulk	2507121514	0.0
Oahu_Battery_Bulk	2507121516	0.0
Oahu_Battery_Bulk	2507121518	0.0
Oahu_Battery_Bulk	2507121520	0.0
Oahu_Battery_Bulk	2507121522	0.0
Oahu_Battery_Bulk	2507121800	0.0
Oahu_Battery_Bulk	2507121802	0.0
Oahu_Battery_Bulk	2507121804	0.0
Oahu_Battery_Bulk	2507121806	0.0
Oahu_Battery_Bulk	2507121808	0.0
Oahu_Battery_Bulk	2507121810	0.0
Oahu_Battery_Bulk	2507121812	0.0
Oahu_Battery_Bulk	2507121814	0.0
Oahu_Battery_Bulk	2507121816	0.0
Oahu_Battery_Bulk	2507121818	0.0
Oahu_Battery_Bulk	2507121820	0.0
Oahu_Battery_Bulk	2507121822	0.0
Oahu_Battery_Bulk	2507121900	0.0
Oahu_Battery_Bulk	2507121902	0.0
Oahu_Battery_Bulk	2507121904	0.0
Oahu_Battery_Bulk	2507121906	0.0
Oahu_Battery_Bulk	2507121908	0.0
Oahu_Battery_Bulk	2507121910	0.0
Oahu_Battery_Bulk	2507121912	0.0
Oahu_Battery_Bulk	2507121914	0.0
Oahu_Battery_Bulk	2507121916	0.0
Oahu_Battery_Bulk	2507121918	0.0
Oahu_Battery_Bulk	2507121920	0.0
Oahu_Battery_Bulk	2507121922	0.0
Oahu_Battery_Bulk	2508010900	0.0
Oahu_Battery_Bulk	2508010902	0.0
Oahu_Battery_Bulk	2508010904	0.0
Oahu_Battery_Bulk	2508010906	0.0
Oahu_Battery_Bulk	2508010908	0.0
Oahu_Battery_Bulk	2508010910	0.0
Oahu_Battery_Bulk	2508010912	0.0
Oahu_Battery_Bulk	2508010914	0.0
Oahu_Battery_Bulk	2508010916	0.0
Oahu_Battery_Bulk	2508010918	0.0
Oahu_Battery_Bulk	2508010920	0.0
Oahu_Battery_Bulk	2508010922	0.0
Oahu_Battery_Bulk	2508042100	0.0
Oahu_Battery_Bulk	2508042102	0.0
Oahu_Battery_Bulk	2508042104	0.0
Oahu_Battery_Bulk	2508042106	0.0
Oahu_Battery_Bulk	2508042108	0.0
Oahu_Battery_Bulk	2508042110	0.0
Oahu_Battery_Bulk	2508042112	0.0
Oahu_Battery_Bulk	2508042114	0.0
Oahu_Battery_Bulk	2508042116	0.0
Oahu_Battery_Bulk	2508042118	0.0
Oahu_Battery_Bulk	2508042120	0.0
Oahu_Battery_Bulk	2508042122	0.0
Oahu_Battery_Bulk	2508050100	0.0
Oahu_Battery_Bulk	2508050102	0.0
Oahu_Battery_Bulk	2508050104	0.0
Oahu_Battery_Bulk	2508050106	0.0
Oahu_Battery_Bulk	2508050108	0.0
Oahu_Battery_Bulk	2508050110	0.0
Oahu_Battery_Bulk	2508050112	0.0
Oahu_Battery_Bulk	2508050114	0.0
Oahu_Battery_Bulk	2508050116	0.0
Oahu_Battery_Bulk	2508050118	0.0
Oahu_Battery_Bulk	2508050120	0.0
Oahu_Battery_Bulk	2508050122	0.0
Oahu_Battery_Bulk	2508072700	0.0
Oahu_Battery_Bulk	2508072702	0.0
Oahu_Battery_Bulk	2508072704	0.0
Oahu_Battery_Bulk	2508072706	0.0
Oahu_Battery_Bulk	2508072708	0.0
Oahu_Battery_Bulk	2508072710	0.0
Oahu_Battery_Bulk	2508072712	0.0
Oahu_Battery_Bulk	2508072714	0.0
Oahu_Battery_Bulk	2508072716	0.0
Oahu_Battery_Bulk	2508072718	0.0
Oahu_Battery_Bulk	2508072720	0.0
Oahu_Battery_Bulk	2508072722	0.0
Oahu_Battery_Bulk	2508091000	0.0
Oahu_Battery_Bulk	2508091002	0.0
Oahu_Battery_Bulk	2508091004	0.0
Oahu_Battery_Bulk	2508091006	0.0
Oahu_Battery_Bulk	2508091008	0.0
Oahu_Battery_Bulk	2508091010	0.0
Oahu_Battery_Bulk	2508091012	0.0
Oahu_Battery_Bulk	2508091014	0.0
Oahu_Battery_Bulk	2508091016	0.0
Oahu_Battery_Bulk	2508091018	0.0
Oahu_Battery_Bulk	2508091020	0.0
Oahu_Battery_Bulk	2508091022	0.0
Oahu_Battery_Bulk	2508100300	0.0
Oahu_Battery_Bulk	2508100302	0.0
Oahu_Battery_Bulk	2508100304	0.0
Oahu_Battery_Bulk	2508100306	0.0
Oahu_Battery_Bulk	2508100308	0.0
Oahu_Battery_Bulk	2508100310	0.0
Oahu_Battery_Bulk	2508100312	0.0
Oahu_Battery_Bulk	2508100314	0.0
Oahu_Battery_Bulk	2508100316	0.0
Oahu_Battery_Bulk	2508100318	0.0
Oahu_Battery_Bulk	2508100320	0.0
Oahu_Battery_Bulk	2508100322	0.0
Oahu_Battery_Bulk	2508110800	0.0
Oahu_Battery_Bulk	2508110802	0.0
Oahu_Battery_Bulk	2508110804	0.0
Oahu_Battery_Bulk	2508110806	0.0
Oahu_Battery_Bulk	2508110808	0.0
Oahu_Battery_Bulk	2508110810	0.0
Oahu_Battery_Bulk	2508110812	0.0
Oahu_Battery_Bulk	2508110814	0.0
Oahu_Battery_Bulk	2508110816	0.0
Oahu_Battery_Bulk	2508110818	0.0
Oahu_Battery_Bulk	2508110820	0.0
Oahu_Battery_Bulk	2508110822	0.0
Oahu_Battery_Bulk	2508120500	0.0
Oahu_Battery_Bulk	2508120502	0.0
Oahu_Battery_Bulk	2508120504	0.0
Oahu_Battery_Bulk	2508120506	0.0
Oahu_Battery_Bulk	2508120508	0.0
Oahu_Battery_Bulk	2508120510	0.0
Oahu_Battery_Bulk	2508120512	0.0
Oahu_Battery_Bulk	2508120514	0.0
Oahu_Battery_Bulk	2508120516	0.0
Oahu_Battery_Bulk	2508120518	0.0
Oahu_Battery_Bulk	2508120520	0.0
Oahu_Battery_Bulk	2508120522	0.0
Oahu_Battery_Bulk	2508120800	0.0
Oahu_Battery_Bulk	2508120802	0.0
Oahu_Battery_Bulk	2508120804	0.0
Oahu_Battery_Bulk	2508120806	0.0
Oahu_Battery_Bulk	2508120808	0.0
Oahu_Battery_Bulk	2508120810	0.0
Oahu_Battery_Bulk	2508120812	0.0
Oahu_Battery_Bulk	2508120814	0.0
Oahu_Battery_Bulk	2508120816	0.0
Oahu_Battery_Bulk	2508120818	0.0
Oahu_Battery_Bulk	2508120820	0.0
Oahu_Battery_Bulk	2508120822	0.0
Oahu_Battery_Bulk	3007051700	0.0
Oahu_Battery_Bulk	3007051702	0.0
Oahu_Battery_Bulk	3007051704	0.0
Oahu_Battery_Bulk	3007051706	0.0
Oahu_Battery_Bulk	3007051708	0.0
Oahu_Battery_Bulk	3007051710	0.0
Oahu_Battery_Bulk	3007051712	0.0
Oahu_Battery_Bulk	3007051714	0.0
Oahu_Battery_Bulk	3007051716	0.0
Oahu_Battery_Bulk	3007051718	0.0
Oahu_Battery_Bulk	3007051720	0.0
Oahu_Battery_Bulk	3007051722	0.0
