LOAD_ZONE	VEHICLE_TYPE	BID_NUM	TIMEPOINT	ev_bid_by_type
Oahu	All_Diesel_Vehicles	0	2007051700	60.6519133962
Oahu	All_Diesel_Vehicles	0	2007051702	30.4390728825
Oahu	All_Diesel_Vehicles	0	2007051704	1.62411393238
Oahu	All_Diesel_Vehicles	0	2007051706	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051708	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051710	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051712	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051714	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051716	20.9130878211
Oahu	All_Diesel_Vehicles	0	2007051718	43.0305878211
Oahu	All_Diesel_Vehicles	0	2007051720	66.8760878211
Oahu	All_Diesel_Vehicles	0	2007051722	83.4031720194
Oahu	All_Diesel_Vehicles	0	2007070900	60.6519133962
Oahu	All_Diesel_Vehicles	0	2007070902	30.4390728825
Oahu	All_Diesel_Vehicles	0	2007070904	1.62411393238
Oahu	All_Diesel_Vehicles	0	2007070906	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007070908	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007070910	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007070912	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007070914	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007070916	20.9130878211
Oahu	All_Diesel_Vehicles	0	2007070918	43.0305878211
Oahu	All_Diesel_Vehicles	0	2007070920	66.8760878211
Oahu	All_Diesel_Vehicles	0	2007070922	83.4031720194
Oahu	All_Diesel_Vehicles	0	2007072100	60.6519133962
Oahu	All_Diesel_Vehicles	0	2007072102	30.4390728825
Oahu	All_Diesel_Vehicles	0	2007072104	1.62411393238
Oahu	All_Diesel_Vehicles	0	2007072106	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007072108	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007072110	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007072112	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007072114	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007072116	20.9130878211
Oahu	All_Diesel_Vehicles	0	2007072118	43.0305878211
Oahu	All_Diesel_Vehicles	0	2007072120	66.8760878211
Oahu	All_Diesel_Vehicles	0	2007072122	83.4031720194
Oahu	All_Diesel_Vehicles	0	2007082500	60.6519133962
Oahu	All_Diesel_Vehicles	0	2007082502	30.4390728825
Oahu	All_Diesel_Vehicles	0	2007082504	1.62411393238
Oahu	All_Diesel_Vehicles	0	2007082506	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007082508	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007082510	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007082512	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007082514	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007082516	20.9130878211
Oahu	All_Diesel_Vehicles	0	2007082518	43.0305878211
Oahu	All_Diesel_Vehicles	0	2007082520	66.8760878211
