TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
20070517	2020	2.0	12	132.68175583
20070709	2020	2.0	12	197.770919067
20070721	2020	2.0	12	95.1303155007
20070825	2020	2.0	12	142.695473251
20071215	2020	2.0	12	85.1165980796
20071218	2020	2.0	12	97.633744856
20071219	2020	2.0	12	55.0754458162
20080109	2020	2.0	12	152.709190672
20080421	2020	2.0	12	92.6268861454
20080501	2020	2.0	12	97.633744856
20080727	2020	2.0	12	137.68861454
20080910	2020	2.0	12	117.661179698
20081003	2020	2.0	12	120.164609053
20081108	2020	2.0	12	75.1028806584
20081205	2020	2.0	12	85.1165980796
20081208	2020	2.0	12	140.192043896
25070517	2025	2.0	12	132.68175583
25070709	2025	2.0	12	197.770919067
25070721	2025	2.0	12	95.1303155007
25070825	2025	2.0	12	142.695473251
25071215	2025	2.0	12	85.1165980796
25071218	2025	2.0	12	97.633744856
25071219	2025	2.0	12	55.0754458162
25080109	2025	2.0	12	152.709190672
25080421	2025	2.0	12	92.6268861454
25080501	2025	2.0	12	97.633744856
25080727	2025	2.0	12	137.68861454
25080910	2025	2.0	12	117.661179698
25081003	2025	2.0	12	120.164609053
25081108	2025	2.0	12	75.1028806584
25081205	2025	2.0	12	85.1165980796
25081208	2025	2.0	12	140.192043896
30070517	2030	2.0	12	132.68175583
30070709	2030	2.0	12	197.770919067
30070721	2030	2.0	12	95.1303155007
30070825	2030	2.0	12	142.695473251
30071215	2030	2.0	12	85.1165980796
30071218	2030	2.0	12	97.633744856
30071219	2030	2.0	12	55.0754458162
30080109	2030	2.0	12	152.709190672
30080421	2030	2.0	12	92.6268861454
30080501	2030	2.0	12	97.633744856
30080727	2030	2.0	12	137.68861454
30080910	2030	2.0	12	117.661179698
30081003	2030	2.0	12	120.164609053
30081108	2030	2.0	12	75.1028806584
30081205	2030	2.0	12	85.1165980796
30081208	2030	2.0	12	140.192043896
35070517	2035	2.0	12	132.68175583
35070709	2035	2.0	12	197.770919067
35070721	2035	2.0	12	95.1303155007
35070825	2035	2.0	12	142.695473251
35071215	2035	2.0	12	85.1165980796
35071218	2035	2.0	12	97.633744856
35071219	2035	2.0	12	55.0754458162
35080109	2035	2.0	12	152.709190672
35080421	2035	2.0	12	92.6268861454
35080501	2035	2.0	12	97.633744856
35080727	2035	2.0	12	137.68861454
35080910	2035	2.0	12	117.661179698
35081003	2035	2.0	12	120.164609053
35081108	2035	2.0	12	75.1028806584
35081205	2035	2.0	12	85.1165980796
35081208	2035	2.0	12	140.192043896
40070517	2040	2.0	12	132.68175583
40070709	2040	2.0	12	197.770919067
40070721	2040	2.0	12	95.1303155007
40070825	2040	2.0	12	142.695473251
40071215	2040	2.0	12	85.1165980796
40071218	2040	2.0	12	97.633744856
40071219	2040	2.0	12	55.0754458162
40080109	2040	2.0	12	152.709190672
40080421	2040	2.0	12	92.6268861454
40080501	2040	2.0	12	97.633744856
40080727	2040	2.0	12	137.68861454
40080910	2040	2.0	12	117.661179698
40081003	2040	2.0	12	120.164609053
40081108	2040	2.0	12	75.1028806584
40081205	2040	2.0	12	85.1165980796
40081208	2040	2.0	12	140.192043896
45070517	2045	2.0	12	132.68175583
45070709	2045	2.0	12	197.770919067
45070721	2045	2.0	12	95.1303155007
45070825	2045	2.0	12	142.695473251
45071215	2045	2.0	12	85.1165980796
45071218	2045	2.0	12	97.633744856
45071219	2045	2.0	12	55.0754458162
45080109	2045	2.0	12	152.709190672
45080421	2045	2.0	12	92.6268861454
45080501	2045	2.0	12	97.633744856
45080727	2045	2.0	12	137.68861454
45080910	2045	2.0	12	117.661179698
45081003	2045	2.0	12	120.164609053
45081108	2045	2.0	12	75.1028806584
45081205	2045	2.0	12	85.1165980796
45081208	2045	2.0	12	140.192043896
