LOAD_ZONE	TIMEPOINT	zone_demand_mw
Oahu	2007051700	564.609273444
Oahu	2007051702	509.277000077
Oahu	2007051704	565.126668912
Oahu	2007051706	840.618197451
Oahu	2007051708	981.091684909
Oahu	2007051710	1045.78287059
Oahu	2007051712	1062.52091607
Oahu	2007051714	1062.81339281
Oahu	2007051716	1045.83916893
Oahu	2007051718	1016.18765759
Oahu	2007051720	983.082723732
Oahu	2007051722	752.93470141
Oahu	2007070900	603.77719514
Oahu	2007070902	544.946529249
Oahu	2007070904	616.431963274
Oahu	2007070906	850.157058483
Oahu	2007070908	1023.31928402
Oahu	2007070910	1100.82273588
Oahu	2007070912	1119.6079812
Oahu	2007070914	1118.71942864
Oahu	2007070916	1100.59767983
Oahu	2007070918	1054.30946002
Oahu	2007070920	1033.64563524
Oahu	2007070922	810.48293233
Oahu	2007072100	672.529138831
Oahu	2007072102	601.49367958
Oahu	2007072104	609.277748843
Oahu	2007072106	743.373321042
Oahu	2007072108	951.777688973
Oahu	2007072110	1032.04827285
Oahu	2007072112	1027.43634037
Oahu	2007072114	1013.92666136
Oahu	2007072116	1015.17524867
Oahu	2007072118	996.446164373
Oahu	2007072120	976.67102947
Oahu	2007072122	817.37838037
Oahu	2007082500	652.3377395
Oahu	2007082502	576.521590065
Oahu	2007082504	590.188767112
Oahu	2007082506	725.037981834
Oahu	2007082508	965.298627651
Oahu	2007082510	1046.60400246
Oahu	2007082512	1033.00438343
Oahu	2007082514	1018.60615185
Oahu	2007082516	1031.65459642
Oahu	2007082518	1026.6152085
Oahu	2007082520	982.486510589
Oahu	2007082522	828.503344122
Oahu	2007121500	592.101056917
Oahu	2007121502	519.074558843
Oahu	2007121504	546.476402286
Oahu	2007121506	689.492103038
Oahu	2007121508	881.473421566
Oahu	2007121510	938.166810266
Oahu	2007121512	924.949539337
Oahu	2007121514	890.146112053
Oahu	2007121516	906.332983059
Oahu	2007121518	978.245872522
Oahu	2007121520	888.97627376
Oahu	2007121522	742.360912129
Oahu	2007121800	540.244588083
Oahu	2007121802	481.897675969
Oahu	2007121804	561.673315058
Oahu	2007121806	835.421311497
Oahu	2007121808	918.211589334
Oahu	2007121810	960.067962694
Oahu	2007121812	979.021965724
Oahu	2007121814	967.537104541
Oahu	2007121816	960.934133238
Oahu	2007121818	1067.97649976
Oahu	2007121820	942.2837293
Oahu	2007121822	734.498093847
Oahu	2007121900	544.147916711
Oahu	2007121902	489.198060111
Oahu	2007121904	569.828610077
Oahu	2007121906	838.908375698
